User-ID,ISBN,Rating,Author,Gender
0,2434,9,424,1
0,3372,8,958,1
0,2438,8,424,1
0,105,9,923,0
0,391,9,1192,0
0,2419,7,487,0
0,1146,10,923,0
0,1217,9,923,0
0,1413,9,50,0
0,2291,8,1173,1
0,882,5,188,0
1,3495,10,1032,1
1,3377,9,958,1
1,2967,7,721,0
1,2913,7,721,0
1,2966,7,721,0
1,2904,7,721,0
1,2840,7,1214,0
1,517,9,687,0
1,391,10,1192,0
1,320,7,119,1
1,2911,7,745,0
2,3359,10,283,1
2,3291,9,618,1
2,3084,4,676,0
2,2880,10,171,1
2,2752,10,486,0
2,2723,5,571,0
2,2651,9,530,1
2,2686,10,565,0
2,2592,6,938,0
2,1810,10,930,1
2,1305,10,263,1
2,913,7,938,0
2,872,5,938,0
2,251,10,714,0
2,7,10,184,0
2,2604,8,565,0
3,3664,6,50,0
3,3570,8,132,1
3,3518,7,612,0
3,3243,8,612,0
3,2792,6,483,0
3,539,8,628,1
3,406,8,1268,1
3,400,6,283,1
3,389,7,430,0
3,275,8,96,1
3,150,8,887,0
3,1318,7,548,0
4,710,5,887,0
4,730,5,633,1
4,1101,10,998,1
4,1369,5,1173,1
4,2094,10,323,1
4,128,5,1142,1
4,2406,4,437,1
4,2324,7,887,0
4,3940,10,513,1
4,3871,5,1031,1
4,3668,10,50,0
4,2124,8,138,0
4,3412,5,397,1
4,3408,8,397,1
4,3102,4,1173,1
4,3419,9,576,1
4,2603,10,321,1
5,3891,7,294,0
5,3512,8,864,0
5,2891,8,47,0
5,2836,7,1120,0
5,2769,7,47,0
5,2584,9,938,0
5,2028,8,1120,0
5,1991,7,1120,0
5,3871,1,1031,1
5,1921,7,1156,0
5,1631,7,292,1
5,1139,9,350,0
5,884,6,938,0
5,872,9,938,0
5,840,10,1217,0
5,523,5,68,0
5,514,5,585,0
5,1951,5,1156,0
5,211,8,113,0
6,3738,10,948,1
6,3603,6,324,1
6,762,10,176,1
6,1769,6,27,0
6,1326,2,226,1
6,564,10,290,1
6,3292,10,1046,1
7,3865,10,1074,1
7,3791,10,137,1
7,3787,10,137,1
7,3776,10,137,1
7,3771,9,137,1
7,3763,10,137,1
7,3749,10,948,1
7,3566,10,521,0
7,3564,10,521,0
7,3440,8,976,1
7,3153,6,1274,0
7,2881,8,952,0
7,2597,6,938,0
7,1453,6,1274,0
7,385,10,646,1
7,3618,8,344,0
7,646,5,83,0
7,3725,8,948,1
8,618,10,1230,1
8,622,10,1230,1
8,3157,9,321,1
8,2600,3,780,0
8,2591,5,780,0
8,2556,8,780,0
8,2548,8,780,0
8,610,10,534,1
8,1038,10,22,0
8,682,10,1230,1
8,639,10,1230,1
8,405,8,301,0
8,403,5,1317,0
8,2261,9,1173,1
8,133,7,439,1
9,2569,10,634,1
9,2705,10,1071,1
9,2904,10,721,0
9,2911,8,745,0
9,2979,9,745,0
9,2967,10,721,0
9,2384,9,641,1
9,2980,10,721,0
9,2981,10,721,0
9,3089,8,1235,0
9,3153,10,1274,0
9,2953,9,1214,0
9,2112,10,539,1
9,1749,7,647,1
9,1816,10,630,1
9,1753,10,501,1
9,1684,10,527,1
9,1640,4,966,0
9,1600,9,967,0
9,1417,10,1181,1
9,1307,5,501,1
9,1103,9,663,0
9,1026,9,1033,1
9,842,9,1235,0
9,757,9,1043,1
9,518,10,1071,1
9,162,8,1006,1
9,2076,9,539,1
9,1491,8,1082,1
9,3178,5,321,1
9,3513,9,56,1
9,3252,10,947,0
9,3718,8,1069,1
9,3721,8,1069,1
10,1746,8,187,0
11,114,8,610,0
11,3965,7,1045,1
11,3952,7,513,1
11,3871,6,1031,1
11,3832,9,904,0
11,3813,9,669,1
11,3203,6,79,0
11,3025,8,559,1
11,2150,9,738,0
11,2103,7,931,1
11,3570,8,132,1
11,1963,6,1068,1
11,2062,8,142,1
11,121,9,1273,0
11,350,9,1055,1
11,1034,9,1039,1
11,1097,6,723,0
11,3385,10,376,1
11,1618,5,275,1
11,1703,8,828,0
11,1719,8,828,0
11,1755,8,828,0
11,1848,7,511,0
11,1310,7,501,1
12,3877,8,853,1
12,3864,7,1123,0
12,3664,7,50,0
12,3339,8,1025,1
12,2659,7,209,0
12,932,7,653,1
12,1303,9,835,0
12,755,7,1002,1
12,417,5,1317,0
12,95,6,1030,0
12,2446,8,1261,0
12,391,7,1192,0
13,2617,6,285,1
13,129,8,1088,1
13,389,7,430,0
13,542,7,554,0
13,2470,7,1265,0
13,2141,8,326,1
13,1508,9,735,1
13,3059,6,1204,0
13,1009,3,276,1
14,1328,10,851,1
14,3560,9,709,0
14,3109,9,1165,1
14,2419,10,487,0
14,2124,10,138,0
14,1216,10,1228,1
14,1123,8,798,0
14,888,8,1130,0
14,852,8,167,0
14,442,10,136,1
14,257,10,1146,0
14,134,10,74,0
14,894,10,1130,0
15,3158,7,864,0
15,3201,7,676,0
15,3078,7,864,0
15,2543,9,938,0
15,3654,7,522,0
15,2299,10,1173,1
15,915,5,938,0
15,1610,8,967,0
15,1139,5,350,0
15,911,7,938,0
15,867,7,938,0
15,270,10,384,0
15,1685,10,828,0
16,3564,10,521,0
16,1191,10,1151,0
16,2889,10,1151,0
16,2887,10,922,1
16,2884,9,922,1
16,2835,10,922,1
16,1868,8,1148,0
16,1247,10,895,0
16,768,7,958,1
16,3680,10,50,0
16,724,8,83,0
16,701,10,321,1
16,664,8,83,0
16,646,7,83,0
16,453,8,1262,0
16,381,10,1055,1
16,347,6,1204,0
16,310,10,1117,1
16,3566,10,521,0
16,763,8,83,0
16,3762,8,390,1
17,3383,10,87,0
17,15,10,833,1
17,1281,10,652,1
17,1301,9,218,0
17,1365,9,984,0
17,1963,7,1068,1
17,2131,10,1079,1
17,2142,8,747,0
17,2247,8,747,0
17,2446,9,1261,0
17,2450,5,1261,0
17,2461,10,1261,0
17,2474,10,674,0
17,3120,10,149,1
17,3144,10,87,0
17,3359,10,283,1
17,3980,9,537,1
17,3964,10,1073,1
17,3954,10,513,1
17,3626,9,704,0
17,3616,9,756,0
17,3363,8,1050,1
17,3410,5,1269,0
17,1249,10,39,0
17,3408,10,397,1
17,1243,10,75,0
17,1112,9,723,0
17,35,9,1158,0
17,68,10,1030,0
17,98,10,1213,0
17,283,10,516,1
17,412,10,68,0
17,413,9,660,1
17,429,9,1280,0
17,577,10,68,0
17,581,5,146,0
17,732,10,850,1
17,793,10,327,0
17,797,10,502,1
17,812,9,846,0
17,835,10,1191,0
17,948,10,449,0
17,953,10,1261,0
17,965,10,10,0
17,989,9,694,1
17,995,10,125,1
17,1005,10,1050,1
